Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
BISCH,2019,9,113.80,99.7,W,CRAIG,1,0,0
BISCH,2019,10,84.50,126.2,L,ERIC,0,1,0
BISCH,2019,11,102.30,141.7,L,MURPH,0,1,0
BISCH,2019,12,105.30,132.2,L,RYAN,0,1,0
BISCH,2019,13,108.10,116.8,L,CAP,0,1,0
BISCH,2019,14,85.30,92,L,FIELER,0,1,0
BISCH,2019,15,96.30,97,L,CAP,0,1,0
BISCH,2019,16,80.80,107,L,MURPH,0,1,0
ERIC,2018,5,90.70,90.4,W,LOTH,1,0,0
ERIC,2018,11,98.90,99.2,L,BISCH,0,1,0
LOTH,2018,1,100.80,126.2,L,JAMES,0,1,0
MURPH,2018,1,124.90,128.2,L,FIELER,0,1,0
LOTH,2018,12,114.00,112.6,W,JAMES,1,0,0
ERIC,2018,1,80.70,98.1,L,COLLIN,0,1,0
ERIC,2018,3,112.60,111.1,W,DUKE,1,0,0
MURPH,2018,2,102.10,99.5,W,LOTH,1,0,0
CAP,2018,1,88.40,132.3,L,CRAIG,0,1,0
DUKE,2018,1,110.10,117.1,L,RYAN,0,1,0
COLLIN,2018,9,130.00,127.4,W,MURPH,1,0,0
BISCH,2018,1,127.80,140.9,L,HAMM,0,1,0
FIELER,2018,14,129.00,126.2,W,DUKE,1,0,0
CRAIG,2018,2,114.50,121.4,L,ERIC,0,1,0
LOTH,2018,2,99.50,102.1,L,MURPH,0,1,0
JAMES,2018,16,98.40,95.3,W,RYAN,1,0,0
FIELER,2018,2,88.80,110.2,L,RYAN,0,1,0
FIELER,2018,1,128.20,124.9,W,MURPH,1,0,0
CAP,2018,10,92.60,88.5,W,ERIC,1,0,0
COLLIN,2018,2,141.70,152.4,L,BISCH,0,1,0
CAP,2018,2,54.20,109.4,L,DUKE,0,1,0
RYAN,2018,7,123.40,118.8,W,BISCH,1,0,0
JAMES,2018,2,131.10,139.3,L,HAMM,0,1,0
JAMES,2018,4,135.70,130.6,W,MURPH,1,0,0
HAMM,2018,1,140.90,127.8,W,BISCH,1,0,0
CRAIG,2018,3,104.20,137.5,L,COLLIN,0,1,0
LOTH,2018,3,92.70,106.8,L,RYAN,0,1,0
LOTH,2018,6,101.00,95.8,W,COLLIN,1,0,0
BISCH,2018,9,114.40,109.1,W,CAP,1,0,0
HAMM,2018,2,139.30,131.1,W,JAMES,1,0,0
ERIC,2018,2,121.40,114.5,W,CRAIG,1,0,0
RYAN,2018,1,117.10,110.1,W,DUKE,1,0,0
CAP,2018,3,90.10,105.1,L,FIELER,0,1,0
DUKE,2018,3,111.10,112.6,L,ERIC,0,1,0
CRAIG,2018,12,131.30,124.3,W,CAP,1,0,0
BISCH,2018,3,90.90,112.5,L,JAMES,0,1,0
DUKE,2018,8,137.60,129.7,W,LOTH,1,0,0
CRAIG,2018,4,104.20,130.6,L,BISCH,0,1,0
CRAIG,2018,8,107.60,99.4,W,HAMM,1,0,0
MURPH,2018,4,130.60,135.7,L,JAMES,0,1,0
FIELER,2018,4,127.00,169,L,ERIC,0,1,0
HAMM,2018,3,101.70,136.1,L,MURPH,0,1,0
RYAN,2018,4,65.30,113.6,L,HAMM,0,1,0
COLLIN,2018,4,113.90,129.5,L,DUKE,0,1,0
CAP,2018,4,107.60,163.8,L,LOTH,0,1,0
BISCH,2018,12,129.20,120.7,W,HAMM,1,0,0
COLLIN,2018,7,122.90,113.9,W,HAMM,1,0,0
FIELER,2018,7,95.60,85.6,W,DUKE,1,0,0
RYAN,2018,6,105.30,95.1,W,MURPH,1,0,0
MURPH,2018,12,111.00,100.8,W,FIELER,1,0,0
LOTH,2018,5,90.40,90.7,L,ERIC,0,1,0
MURPH,2018,5,82.70,135.4,L,BISCH,0,1,0
FIELER,2018,15,101.50,90.8,W,CAP,1,0,0
BISCH,2018,2,152.40,141.7,W,COLLIN,1,0,0
RYAN,2018,5,99.50,156.2,L,JAMES,0,1,0
COLLIN,2018,5,92.60,146.9,L,FIELER,0,1,0
CAP,2018,5,83.40,105.3,L,HAMM,0,1,0
DUKE,2018,5,91.80,164.6,L,CRAIG,0,1,0
COLLIN,2018,14,99.90,88.5,W,BISCH,1,0,0
LOTH,2018,13,110.10,97.7,W,MURPH,1,0,0
HAMM,2018,4,113.60,65.3,W,RYAN,1,0,0
